,Agent_0,Agent_1
0,1.645,1.675
1,1.513,1.675
2,1.414,1.537
3,1.436,1.446
4,1.456,1.454
5,1.474,1.468
6,1.488,1.486
7,1.509,1.509
8,1.528,1.536
9,1.549,1.551
10,1.57,1.569
11,1.59,1.589
12,1.608,1.607
13,1.62,1.623
14,1.625,1.639
15,1.62,1.648
16,1.624,1.654
17,1.636,1.664
18,1.633,1.664
19,1.633,1.665
20,1.633,1.666
21,1.634,1.671
22,1.636,1.671
23,1.635,1.672
24,1.636,1.67
25,1.636,1.67
26,1.637,1.678
27,1.636,1.674
28,1.635,1.671
29,1.637,1.672
30,1.636,1.664
31,1.635,1.666
32,1.634,1.663
33,1.638,1.66
34,1.638,1.663
35,1.635,1.668
36,1.63,1.665
37,1.633,1.673
38,1.636,1.671
39,1.635,1.674
40,1.637,1.671
41,1.635,1.67
42,1.637,1.668
43,1.638,1.667
44,1.638,1.667
45,1.64,1.668
46,1.637,1.672
47,1.638,1.669
48,1.631,1.671
49,1.632,1.664
50,1.631,1.659
51,1.635,1.659
52,1.639,1.663
53,1.639,1.667
54,1.641,1.67
55,1.642,1.668
56,1.643,1.673
57,1.642,1.674
58,1.635,1.677
59,1.637,1.67
60,1.638,1.671
61,1.639,1.674
62,1.64,1.676
63,1.64,1.681
64,1.627,1.676
65,1.637,1.654
66,1.638,1.659
67,1.639,1.666
68,1.637,1.663
69,1.637,1.669
70,1.641,1.668
71,1.638,1.675
72,1.641,1.675
73,1.639,1.677
74,1.643,1.666
75,1.641,1.669
76,1.639,1.669
77,1.635,1.666
78,1.638,1.66
79,1.639,1.667
80,1.637,1.669
81,1.637,1.67
82,1.64,1.672
83,1.641,1.673
84,1.641,1.665
85,1.644,1.668
86,1.643,1.67
87,1.642,1.673
88,1.642,1.672
89,1.643,1.674
90,1.642,1.676
91,1.644,1.675
92,1.643,1.676
93,1.644,1.674
94,1.645,1.666
95,1.635,1.668
96,1.636,1.668
97,1.638,1.668
98,1.638,1.668
99,1.639,1.668
100,1.646,1.671
