,Agent_0,Agent_1
0,11,13
1,12,14
2,9,9
3,12,12
4,14,14
5,13,11
6,12,12
7,10,10
8,13,13
9,11,8
10,12,12
11,12,13
12,12,13
13,11,11
14,5,6
15,6,7
16,13,12
17,9,9
18,11,4
19,12,11
20,12,11
21,6,3
22,10,9
23,9,10
24,11,11
25,9,13
26,12,10
27,11,10
28,12,12
29,13,14
30,13,12
31,12,11
32,13,12
33,11,10
34,10,10
35,6,7
36,9,9
37,9,9
38,10,11
39,13,12
40,11,11
41,12,11
42,10,10
43,12,10
44,13,12
45,6,9
46,11,10
47,12,12
48,10,9
49,14,14
50,11,11
51,9,9
52,11,11
53,10,10
54,12,11
55,12,11
56,11,13
57,9,12
58,10,10
59,10,10
60,10,10
61,12,12
62,12,14
63,14,13
64,9,9
65,11,11
66,9,8
67,14,13
68,10,10
69,10,12
70,13,13
71,9,8
72,9,7
73,9,9
74,10,10
75,8,8
76,12,12
77,9,9
78,12,12
79,14,12
80,13,14
81,8,10
82,11,11
83,13,13
84,11,11
85,10,10
86,1,2
87,9,9
88,9,9
89,13,13
90,11,10
91,11,8
92,8,8
93,12,11
94,13,13
95,13,11
96,7,9
97,13,11
98,10,10
99,8,10
100,12,10
101,10,9
102,10,10
103,14,13
104,5,6
105,12,10
106,12,11
107,7,8
108,9,12
109,13,13
110,14,14
111,7,8
112,10,10
113,13,13
114,11,12
115,12,11
116,13,10
117,12,12
118,12,12
119,11,13
120,10,10
121,9,9
122,13,13
123,12,12
124,12,12
125,11,10
126,8,8
127,13,14
128,11,11
129,9,9
130,12,13
131,13,14
132,14,13
133,10,10
134,7,7
135,11,10
136,11,10
137,8,9
138,11,11
139,9,9
140,9,8
141,12,12
142,8,8
143,8,8
144,9,9
145,11,7
146,11,10
147,11,12
148,12,12
149,13,11
150,13,13
151,11,11
152,12,9
153,14,14
154,11,11
155,9,9
156,13,13
157,13,13
158,12,12
159,10,10
160,12,12
161,9,9
162,10,10
163,9,8
164,12,12
165,8,9
166,9,8
167,13,13
168,14,14
169,12,12
170,9,10
171,8,9
172,13,12
173,10,10
174,8,5
175,12,11
176,12,11
177,9,10
178,11,10
179,14,14
180,8,10
181,11,11
182,9,9
183,13,13
184,8,8
185,14,12
186,13,13
187,12,10
188,9,9
189,14,13
190,11,11
191,9,9
192,9,7
193,11,11
194,6,6
195,10,9
196,11,13
197,9,13
198,11,14
199,12,14
200,9,11
201,13,11
202,9,8
203,13,12
204,13,12
205,10,10
206,9,10
207,13,13
208,7,8
209,13,13
210,10,10
211,9,5
212,12,13
213,12,12
214,9,9
215,11,11
216,10,10
217,10,10
218,10,9
219,13,12
220,10,13
221,12,11
222,14,14
223,12,11
224,10,10
225,12,13
226,14,14
227,12,12
228,12,12
229,12,14
230,11,13
231,14,14
232,10,9
233,10,11
234,9,14
235,11,10
236,8,8
237,13,13
238,13,12
239,13,12
240,8,8
241,11,12
242,11,11
243,12,12
244,13,11
245,10,8
246,13,13
247,11,11
248,11,11
249,13,13
250,9,8
251,10,10
252,9,9
253,10,9
254,10,11
255,13,13
256,6,7
257,12,12
258,7,4
259,7,9
260,9,9
261,7,7
262,11,9
263,12,12
264,11,9
265,9,9
266,8,9
267,9,10
268,5,3
269,14,13
270,9,9
271,11,12
272,12,13
273,13,13
274,13,13
275,9,11
276,10,8
277,12,12
278,10,11
279,12,13
280,13,12
281,8,11
282,9,10
283,12,12
284,8,9
285,12,12
286,13,13
287,9,9
288,12,9
289,13,12
290,4,10
291,11,12
292,8,9
293,12,13
294,14,12
295,9,9
296,11,11
297,10,10
298,12,12
299,12,12
